Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,Total Bsmt SF,1st Flr SF,Gr Liv Area,Full Bath,Garage Cars,Garage Area,SalePrice,Exter Qual_TA,Foundation_PConc,Bsmt Qual_Ex,Kitchen Qual_Ex,Kitchen Qual_TA
6,2002,2002,0.0,860.0,860,1960,2,2.0,440.0,216500,False,True,False,False,False
7,2004,2004,0.0,847.0,847,1733,2,2.0,433.0,185088,False,True,False,False,False
7,2000,2000,0.0,384.0,774,1430,2,2.0,400.0,180000,True,True,False,False,True
7,2001,2001,180.0,884.0,884,2035,2,2.0,434.0,222500,False,True,False,False,False
9,1999,1999,165.0,1393.0,1422,2599,2,3.0,779.0,333168,False,True,False,False,False
7,1996,1996,338.0,1720.0,1720,1720,2,2.0,527.0,260400,False,True,False,False,False
8,1994,1995,362.0,1463.0,1500,2622,2,2.0,712.0,325000,False,True,True,False,False
8,1999,2007,348.0,1152.0,1164,2270,2,3.0,671.0,290000,False,True,False,False,False
7,1998,1998,30.0,1195.0,1195,1839,2,2.0,486.0,221000,False,True,False,False,True
8,2005,2006,226.0,1595.0,1595,1595,2,3.0,880.0,221500,False,True,False,False,False
7,2009,2010,0.0,1218.0,1218,1218,2,2.0,676.0,204500,False,True,False,False,False
7,2009,2009,0.0,756.0,764,1547,2,2.0,614.0,215200,True,True,False,False,False
8,2008,2008,36.0,1566.0,1566,1566,2,2.0,750.0,262500,False,True,False,False,False
7,2004,2005,0.0,991.0,991,1947,2,2.0,678.0,254900,False,True,False,False,False
6,2005,2005,0.0,1468.0,1468,1468,2,2.0,528.0,271500,False,True,True,False,False
7,2004,2004,0.0,956.0,956,2084,2,2.0,618.0,233000,False,True,False,False,False
7,2004,2004,122.0,831.0,831,1659,2,2.0,484.0,181000,False,True,False,False,False
7,1994,2002,0.0,948.0,1222,2110,2,2.0,463.0,205000,False,True,False,False,False
6,1980,1980,0.0,923.0,923,923,2,1.0,264.0,143000,True,False,False,False,True
6,1992,1992,0.0,1055.0,1055,1845,2,2.0,462.0,189000,False,True,False,False,False
6,1979,1979,0.0,918.0,918,918,2,1.0,264.0,99500,True,False,False,False,True
6,1984,1984,0.0,744.0,752,752,1,1.0,264.0,125000,True,False,False,False,True
7,1993,2003,0.0,996.0,1014,1744,2,2.0,457.0,194500,False,True,False,False,False
6,1984,1985,0.0,1040.0,1097,1097,2,2.0,480.0,152000,True,True,False,False,True
6,1980,1981,130.0,650.0,888,1564,2,2.0,476.0,171000,True,False,False,False,True
5,1920,1950,0.0,816.0,1012,1012,1,1.0,429.0,67500,True,False,False,False,True
6,1978,1978,0.0,0.0,1318,1902,2,2.0,539.0,112000,True,False,False,False,True
5,1961,1995,0.0,1109.0,1155,1155,1,2.0,576.0,148000,True,False,False,False,False
5,1965,2009,0.0,894.0,894,894,1,1.0,336.0,138500,True,False,False,False,True
5,1967,1967,31.0,882.0,900,900,1,1.0,280.0,122000,True,False,False,False,True
5,1963,1963,0.0,1040.0,1040,1040,1,1.0,308.0,133000,True,False,False,False,True
5,1962,2010,0.0,1040.0,1040,1040,1,1.0,260.0,127000,True,False,False,False,True
6,1974,2002,250.0,1208.0,1494,1494,2,2.0,461.0,169000,True,False,False,False,True
7,1992,1992,0.0,750.0,1061,1923,2,2.0,564.0,190000,False,True,False,False,False
8,1992,1993,180.0,1390.0,1402,2225,2,3.0,713.0,285000,False,True,False,False,False
7,2004,2005,0.0,1488.0,1488,1488,2,2.0,506.0,260000,False,True,True,False,False
7,2004,2004,0.0,840.0,840,1680,2,2.0,588.0,190000,False,True,False,False,False
7,2004,2004,120.0,600.0,600,1200,2,2.0,480.0,155000,False,True,False,False,False
7,2004,2005,0.0,600.0,600,1200,2,2.0,480.0,151000,False,True,False,False,False
7,2004,2005,0.0,600.0,600,1200,2,2.0,480.0,149500,False,True,False,False,False
6,2005,2005,216.0,600.0,600,1236,2,2.0,480.0,152000,False,True,False,False,False
7,2009,2009,432.0,1470.0,1478,1478,2,2.0,484.0,222000,False,True,True,False,False
6,2000,2000,216.0,756.0,769,1573,2,2.0,440.0,177500,False,True,False,False,False
6,2000,2000,1159.0,756.0,756,1512,2,2.0,440.0,177000,False,True,False,False,False
7,1999,1999,0.0,696.0,696,1416,2,2.0,484.0,155000,False,True,False,False,False
7,2003,2003,0.0,530.0,530,1080,2,2.0,496.0,147110,False,True,False,False,False
8,2010,2010,0.0,1642.0,1418,1418,1,3.0,852.0,267916,False,True,True,False,False
8,2000,2000,0.0,975.0,975,1848,2,2.0,592.0,254000,False,True,False,False,False
8,1980,1980,0.0,728.0,788,788,1,2.0,484.0,155000,False,False,False,False,False
8,1978,1978,0.0,1226.0,1226,1226,1,2.0,484.0,206000,False,False,False,False,False
6,1976,2005,289.0,725.0,725,1479,2,2.0,475.0,130500,False,False,False,False,False
7,2002,2002,0.0,1492.0,1492,1492,2,2.0,596.0,230000,False,True,False,False,False
6,1967,1967,120.0,1829.0,1829,1829,2,2.0,535.0,218500,True,False,False,False,True
6,1993,1993,0.0,1280.0,1280,2495,2,2.0,660.0,243500,True,True,False,False,False
6,1977,2001,28.0,1610.0,1610,1610,2,2.0,480.0,205000,True,True,False,False,False
6,1978,1978,0.0,1224.0,1287,1891,3,2.0,678.0,212500,True,True,False,False,True
7,1988,1988,42.0,980.0,980,1714,2,2.0,496.0,196500,True,False,False,False,True
6,1972,2006,0.0,1161.0,1381,1381,1,2.0,676.0,197500,True,False,False,False,False
6,1971,1971,0.0,715.0,930,1645,1,2.0,441.0,171000,True,False,False,False,True
5,1966,1966,172.0,1232.0,1232,1232,1,2.0,490.0,142250,True,False,False,False,True
6,1963,1963,451.0,1328.0,1328,1328,1,2.0,528.0,143000,True,False,False,False,True
4,1959,1959,0.0,950.0,1225,1225,1,0.0,0.0,128950,True,False,False,False,True
5,1966,1966,0.0,1209.0,1209,1209,1,2.0,504.0,159000,True,True,False,False,True
5,1967,1967,268.0,1510.0,1510,1510,2,2.0,517.0,178900,True,False,False,False,False
6,1964,1964,0.0,533.0,1131,1775,2,2.0,480.0,136300,True,False,False,False,True
5,1964,1964,86.0,1152.0,1152,1152,1,2.0,484.0,180500,True,True,False,False,True
6,1963,1963,156.0,936.0,1054,1054,1,2.0,480.0,137500,True,True,False,False,False
5,1962,2001,144.0,1728.0,1728,1728,2,0.0,0.0,84900,True,False,False,False,True
5,1950,1996,0.0,1078.0,1078,1078,1,1.0,240.0,142125,True,False,False,False,False
5,1952,2002,265.0,1140.0,1929,2461,2,2.0,400.0,197600,False,False,False,False,True
6,1949,1950,340.0,782.0,1019,1556,2,2.0,470.0,172500,True,False,False,False,True
5,1958,2008,0.0,858.0,858,858,1,0.0,0.0,116500,True,False,False,False,True
3,1940,1966,0.0,728.0,1306,1306,1,0.0,0.0,76500,True,False,False,False,False
5,1954,1954,110.0,1056.0,1063,1063,1,1.0,280.0,128000,True,False,False,False,True
6,1955,1972,164.0,1156.0,1520,1520,1,1.0,364.0,153000,True,False,False,False,True
5,1954,1954,200.0,1268.0,1268,1268,1,1.0,244.0,132000,True,True,False,False,True
6,1966,2008,216.0,1080.0,1128,1128,1,1.0,315.0,178000,True,False,False,False,False
5,1960,1960,361.0,1105.0,1105,2274,2,2.0,480.0,154300,True,False,False,False,True
7,1970,1989,287.0,1947.0,2207,2207,2,2.0,576.0,180000,True,False,False,False,True
6,1966,2002,0.0,1517.0,1888,1888,2,2.0,578.0,190000,False,False,False,False,False
5,1958,1958,0.0,1604.0,1604,1604,2,2.0,576.0,135000,True,False,False,False,True
7,2003,2009,506.0,1480.0,1480,1480,2,2.0,620.0,214000,False,True,False,False,False
5,1959,1959,150.0,1143.0,1143,1143,1,1.0,308.0,136000,True,False,False,False,True
5,1959,1959,0.0,1398.0,1700,1700,1,2.0,447.0,165500,True,False,False,False,False
5,1957,1957,0.0,1314.0,1314,1314,1,1.0,294.0,145000,True,False,False,False,True
6,1959,1959,220.0,1194.0,1194,1194,1,1.0,312.0,148000,True,False,False,False,True
5,1959,1959,180.0,1188.0,1188,1188,1,2.0,531.0,142000,True,False,False,False,True
5,1960,1960,324.0,1268.0,1264,1264,1,2.0,461.0,167500,True,False,False,False,True
5,1959,1959,91.0,1206.0,1206,1206,1,1.0,312.0,108538,True,False,False,False,True
6,1959,1959,432.0,1244.0,1580,1580,1,2.0,440.0,159500,True,False,False,False,True
4,1956,1956,0.0,832.0,832,1337,1,1.0,263.0,108000,True,False,False,False,True
5,1952,1952,0.0,864.0,1064,1064,1,1.0,318.0,135000,True,False,False,False,False
5,1955,1955,0.0,972.0,972,972,1,1.0,305.0,122500,True,False,False,False,True
5,1958,1958,0.0,988.0,988,988,1,1.0,264.0,119000,True,False,False,False,True
5,1953,2007,0.0,1057.0,1057,1057,1,1.0,246.0,109000,True,False,False,False,False
4,1920,1994,0.0,576.0,985,985,1,2.0,676.0,105000,True,False,False,False,True
5,1955,2007,0.0,0.0,827,827,1,1.0,392.0,107500,True,False,False,False,True
5,1954,2003,104.0,1086.0,1086,1086,1,2.0,490.0,144900,True,False,False,False,True
5,1956,2000,0.0,936.0,936,936,1,1.0,308.0,129000,True,False,False,False,True
6,1948,1950,0.0,912.0,912,1458,1,1.0,330.0,97500,True,False,False,False,True
6,1980,1980,0.0,1056.0,1056,1056,0,2.0,576.0,144000,True,False,False,False,True
5,1959,2006,0.0,1063.0,1287,1287,1,2.0,576.0,162000,True,False,False,False,False
7,1967,2007,300.0,710.0,1898,2978,2,2.0,564.0,242000,False,False,False,False,False
6,1948,2004,0.0,816.0,816,1224,1,1.0,280.0,132000,True,False,False,False,True
5,1959,1994,0.0,1246.0,1246,1246,1,1.0,305.0,154000,True,False,False,False,False
5,1952,1952,0.0,910.0,910,1385,2,2.0,720.0,166000,True,False,False,False,True
5,1951,2000,0.0,900.0,900,900,1,2.0,576.0,134800,True,False,False,False,False
6,1962,1962,261.0,1116.0,1116,1116,1,2.0,440.0,160000,True,False,False,False,True
5,1960,1960,0.0,1175.0,1175,1175,1,2.0,484.0,148000,True,False,False,False,True
6,1963,1984,218.0,1395.0,1395,1395,1,2.0,440.0,192000,True,False,False,False,True
6,1966,1966,351.0,756.0,1051,1839,1,2.0,442.0,155000,True,False,False,False,True
4,1900,1954,771.0,709.0,1157,1844,1,1.0,240.0,80400,True,True,False,False,True
4,1910,2004,0.0,576.0,792,1140,1,0.0,0.0,96500,True,False,False,False,True
5,1920,1950,0.0,936.0,936,936,1,0.0,0.0,109500,True,True,False,False,True
5,1927,1950,0.0,1008.0,1028,1028,1,2.0,360.0,115000,True,False,False,False,True
5,1957,1957,0.0,1347.0,1347,1347,1,2.0,551.0,143000,True,False,False,False,False
3,1915,1950,0.0,840.0,840,1605,2,1.0,379.0,107400,False,False,False,False,True
4,1945,1950,0.0,747.0,747,747,1,1.0,220.0,80000,True,False,False,False,True
5,1940,1992,294.0,788.0,804,804,1,1.0,240.0,119000,True,False,False,False,False
5,1929,2001,0.0,926.0,926,1316,1,2.0,484.0,130000,True,False,False,False,True
6,1938,2000,0.0,827.0,827,1251,1,1.0,240.0,119000,True,True,False,False,False
5,1948,2009,0.0,1027.0,1027,1633,1,1.0,240.0,129000,True,False,False,False,False
5,1920,1962,0.0,1008.0,1060,1245,1,1.0,315.0,100000,True,False,False,False,True
2,1923,1970,0.0,678.0,832,832,1,2.0,780.0,12789,True,False,False,False,True
6,1928,2003,0.0,624.0,720,720,1,2.0,484.0,105900,True,False,False,False,True
8,1900,2003,0.0,930.0,930,1566,2,1.0,288.0,150000,False,False,False,False,False
5,1915,1950,0.0,686.0,966,1652,2,1.0,416.0,139000,True,True,False,False,True
8,1890,2002,0.0,346.0,1157,2268,3,2.0,624.0,240000,False,False,False,False,False
5,1910,1950,0.0,840.0,1128,2256,2,0.0,0.0,76500,True,False,False,False,False
6,1957,1996,0.0,912.0,1236,1236,1,2.0,923.0,149700,True,False,False,False,True
4,1910,1950,0.0,622.0,741,1363,1,2.0,528.0,125500,True,False,False,False,True
4,1885,1950,0.0,777.0,1246,2290,2,2.0,560.0,122500,True,True,False,False,True
6,1922,1994,0.0,738.0,868,1470,1,2.0,624.0,140750,True,False,False,False,True
5,1950,1997,0.0,988.0,1030,1612,1,1.0,363.0,128500,True,False,False,False,True
7,1922,2005,0.0,1108.0,1160,2068,1,1.0,315.0,209500,True,False,False,False,False
4,1925,1950,0.0,765.0,765,765,1,1.0,200.0,87000,True,False,False,False,False
6,1939,1950,0.0,608.0,608,1132,1,1.0,240.0,134000,True,False,False,False,True
6,1940,1950,0.0,572.0,848,1196,1,2.0,576.0,128000,True,False,False,False,True
5,1942,1950,300.0,835.0,955,1453,1,1.0,240.0,132000,True,False,False,False,False
6,1948,1950,0.0,780.0,780,1416,1,1.0,312.0,139900,True,False,False,False,True
5,1936,1980,0.0,528.0,548,1040,1,2.0,624.0,123900,True,False,False,False,True
5,1930,1950,0.0,928.0,928,1536,2,2.0,480.0,138400,True,False,False,False,True
6,1923,1950,0.0,1124.0,1068,1068,1,1.0,288.0,109500,True,False,False,False,True
7,1921,1950,0.0,576.0,902,1710,2,2.0,480.0,140000,True,False,False,False,True
4,1915,1950,0.0,888.0,888,1962,1,2.0,572.0,149500,True,False,False,False,True
6,1912,2009,0.0,780.0,780,1560,1,0.0,0.0,159900,False,True,False,False,False
6,1920,1993,0.0,662.0,662,1324,1,1.0,180.0,122000,True,False,False,False,True
5,1963,1963,0.0,816.0,816,816,1,2.0,516.0,110000,False,False,False,False,True
4,1930,1950,0.0,0.0,372,1092,2,0.0,0.0,55000,False,False,False,False,False
5,1900,1996,0.0,360.0,1032,1812,2,2.0,672.0,140000,True,False,False,False,False
7,1940,1950,0.0,1032.0,1207,2403,2,1.0,349.0,244400,True,False,False,False,True
5,1959,1959,90.0,1422.0,1675,1675,2,1.0,365.0,173000,True,False,False,False,True
5,1917,1950,0.0,689.0,725,1224,1,1.0,180.0,107500,True,False,False,False,False
5,1915,1950,0.0,1212.0,1212,1392,1,0.0,0.0,100000,False,False,False,False,True
6,1940,1950,0.0,600.0,600,919,1,1.0,231.0,95000,True,False,False,False,True
4,1907,1950,0.0,707.0,942,1884,1,0.0,0.0,93369,True,False,False,False,True
5,1910,1950,0.0,856.0,936,1680,2,2.0,450.0,114900,True,False,False,False,True
5,1875,1996,0.0,780.0,780,1020,1,0.0,0.0,94000,True,False,False,False,True
4,1967,1967,72.0,1832.0,1832,1832,2,0.0,0.0,136000,False,False,False,False,True
4,1968,1968,0.0,1768.0,1768,1768,2,0.0,0.0,136500,True,False,False,False,True
5,1965,1965,0.0,1039.0,1039,1039,1,2.0,504.0,131500,True,True,False,False,True
5,1957,1996,180.0,1392.0,1392,1392,1,2.0,528.0,121500,True,False,False,False,True
5,1967,1967,0.0,912.0,912,912,1,1.0,336.0,125000,True,False,False,False,True
5,1968,2001,0.0,1060.0,1060,1060,1,1.0,270.0,154000,True,False,False,False,False
5,1966,2008,47.0,864.0,892,892,1,1.0,416.0,137900,True,False,False,False,False
6,1969,1969,143.0,663.0,663,1352,1,1.0,299.0,158000,True,False,False,False,True
5,1968,1968,0.0,864.0,864,864,1,1.0,280.0,137250,True,False,False,False,True
5,1978,1978,0.0,1319.0,1373,1373,1,2.0,591.0,160250,True,False,False,False,True
5,1968,1968,0.0,720.0,720,1440,1,2.0,480.0,163000,True,False,False,False,True
6,1978,1978,328.0,672.0,672,1386,2,2.0,440.0,158900,True,False,False,False,True
7,1996,1997,0.0,1306.0,1306,2260,2,2.0,533.0,328000,False,True,True,False,False
7,1977,2001,0.0,1420.0,1483,1483,1,2.0,690.0,270000,False,False,False,False,True
4,1927,1950,0.0,660.0,756,756,1,2.0,440.0,85000,True,False,False,False,True
4,1950,1995,0.0,1067.0,1067,1067,2,2.0,436.0,128000,True,False,False,False,False
7,1979,1979,0.0,1332.0,1332,1524,0,2.0,586.0,260000,False,True,False,False,False
6,1978,1992,288.0,1117.0,1117,1981,2,2.0,522.0,230000,True,True,False,False,False
3,1938,1990,0.0,972.0,1052,1610,2,1.0,480.0,124000,True,False,False,False,False
5,1920,1950,0.0,458.0,835,835,1,1.0,366.0,83000,True,False,False,False,True
6,1950,1987,0.0,663.0,1074,1074,1,1.0,467.0,144500,True,False,False,False,False
5,1956,1956,0.0,1144.0,1144,1144,1,1.0,596.0,129000,True,False,False,False,True
4,1947,1979,0.0,756.0,1169,1531,1,1.0,209.0,127000,True,False,False,False,True
5,1954,1998,0.0,1172.0,1172,1172,1,1.0,366.0,128000,True,False,False,False,True
6,2009,2009,0.0,1212.0,1212,1212,2,2.0,460.0,186000,True,True,False,False,False
7,2009,2010,96.0,1508.0,1508,1508,1,2.0,572.0,308030,False,True,False,False,False
5,1964,1964,0.0,1250.0,1298,1298,2,2.0,504.0,114000,True,False,False,False,True
4,1946,2006,0.0,0.0,930,930,1,1.0,308.0,84900,True,False,False,False,False
6,1985,1985,336.0,741.0,977,1732,2,2.0,476.0,178000,False,False,False,False,False
7,1987,1987,177.0,1433.0,1433,1433,1,2.0,528.0,270000,False,False,False,False,False
6,1993,1993,85.0,946.0,964,1802,2,4.0,1017.0,218000,False,True,False,False,False
7,1993,1994,246.0,1050.0,1062,1949,2,2.0,574.0,236000,False,True,False,False,False
6,1992,1992,0.0,936.0,996,996,1,2.0,564.0,147000,True,True,False,False,False
8,2008,2008,72.0,1694.0,1694,1694,2,3.0,776.0,245350,False,True,False,False,False
7,2006,2006,24.0,1187.0,1208,1208,2,2.0,632.0,206000,False,True,False,False,False
7,2009,2009,0.0,1226.0,1226,1226,2,3.0,740.0,198900,True,True,False,False,False
7,2010,2010,80.0,1222.0,1222,1222,2,2.0,615.0,187000,False,True,False,False,False
7,1990,1990,0.0,1673.0,1699,3222,3,3.0,594.0,320000,True,True,False,False,False
6,1900,1993,0.0,676.0,831,1445,2,2.0,484.0,138500,True,True,False,False,True
6,1971,1971,80.0,1010.0,1052,1052,1,2.0,440.0,155000,True,False,False,False,True
5,1996,1996,0.0,870.0,965,965,1,2.0,580.0,159000,True,True,False,False,True
7,1997,1998,0.0,878.0,892,1692,2,2.0,513.0,191000,True,True,False,False,True
6,1998,1998,116.0,804.0,804,1682,2,2.0,523.0,200500,True,True,False,False,False
5,1977,2004,0.0,1026.0,1026,1026,1,1.0,308.0,150000,False,False,False,False,True
6,1977,1977,153.0,689.0,689,1392,1,1.0,299.0,161750,True,False,False,False,True
5,1976,1976,0.0,894.0,894,894,1,1.0,308.0,128200,True,False,False,False,True
5,1972,1972,0.0,876.0,876,876,1,2.0,484.0,127000,True,False,False,False,True
8,2003,2003,320.0,1978.0,1978,1978,2,3.0,850.0,318000,False,True,False,False,False
8,2001,2002,479.0,1581.0,1601,1601,2,2.0,670.0,272000,False,True,False,False,False
7,2003,2003,223.0,941.0,941,1829,2,2.0,613.0,237000,False,True,False,False,False
7,1997,1997,0.0,1040.0,1044,2098,2,2.0,621.0,240000,False,True,False,False,False
7,1998,1998,442.0,1649.0,1661,1661,2,2.0,598.0,224900,True,True,False,False,False
6,2003,2003,170.0,848.0,848,848,1,2.0,420.0,143750,False,True,False,False,False
6,2004,2004,169.0,848.0,848,848,1,2.0,420.0,143000,False,True,False,False,False
8,2003,2003,171.0,1657.0,1668,1668,2,2.0,502.0,232000,False,True,False,False,False
7,2004,2005,109.0,1473.0,1484,1484,2,2.0,606.0,213000,False,True,False,False,False
7,2004,2004,98.0,1414.0,1414,1414,2,2.0,494.0,185500,False,True,False,False,False
3,1945,2007,0.0,0.0,640,640,1,1.0,240.0,84900,True,False,False,False,True
5,1954,1954,0.0,381.0,992,992,1,1.0,319.0,155891,True,False,False,False,True
5,1965,1965,0.0,0.0,1664,1664,2,0.0,0.0,100000,True,False,False,False,True
5,1968,1968,0.0,1196.0,1196,1196,1,1.0,336.0,144000,True,False,False,False,True
4,1948,1950,0.0,744.0,792,1120,1,2.0,480.0,64000,True,False,False,False,False
6,1975,1975,0.0,1008.0,1096,1096,1,1.0,352.0,125200,True,False,False,False,True
6,1976,1976,0.0,1029.0,1117,1117,1,2.0,672.0,107000,True,False,False,False,True
4,1958,1958,0.0,960.0,960,960,1,0.0,0.0,90000,True,False,False,False,True
4,2003,2004,0.0,1121.0,1121,1121,2,2.0,440.0,140000,True,True,False,False,True
6,1945,1950,0.0,735.0,798,1487,1,1.0,220.0,113000,True,False,False,False,True
4,1941,1950,0.0,672.0,672,924,1,1.0,280.0,80000,True,False,False,False,False
5,1957,2002,145.0,1216.0,1526,1526,1,1.0,364.0,144500,True,False,False,False,True
5,1924,1999,203.0,1107.0,1296,1296,2,1.0,260.0,104000,True,False,False,False,False
6,1915,1950,0.0,806.0,841,1647,1,1.0,216.0,128000,True,True,False,False,False
3,1914,1950,0.0,864.0,864,864,1,1.0,200.0,58500,True,False,False,False,True
5,1924,1950,0.0,1026.0,1026,1691,2,1.0,308.0,127000,True,False,False,False,False
6,1939,1950,0.0,856.0,856,856,1,2.0,399.0,126000,True,False,False,False,True
4,1967,1967,0.0,0.0,862,2650,3,0.0,0.0,160000,True,False,False,False,True
5,1931,1950,0.0,894.0,894,1666,1,0.0,0.0,100000,True,True,False,False,True
6,1919,1990,0.0,804.0,1699,2447,2,1.0,336.0,169000,True,True,False,False,False
7,1941,1985,371.0,1528.0,1225,2133,1,1.0,312.0,257500,False,False,False,False,True
5,1950,1991,430.0,1032.0,1102,2177,2,2.0,484.0,215000,True,False,False,False,True
7,1941,2006,0.0,1152.0,1188,2340,2,1.0,252.0,266500,False,False,False,False,False
7,1959,2002,0.0,1902.0,1902,1902,2,2.0,567.0,335000,False,True,False,True,False
7,1994,2007,44.0,423.0,896,1652,2,2.0,473.0,203135,True,True,False,False,False
8,1989,1989,0.0,982.0,1034,1034,1,2.0,598.0,185000,False,False,False,False,False
8,1989,1989,0.0,1191.0,1191,1191,2,2.0,531.0,162500,False,False,False,False,False
7,1959,1997,0.0,1501.0,1801,1801,2,2.0,484.0,289000,True,False,False,False,True
4,1922,2007,0.0,796.0,796,1154,1,1.0,240.0,125500,True,False,False,False,False
2,1941,1950,0.0,480.0,540,540,1,1.0,200.0,82000,True,False,False,False,True
6,1921,1975,0.0,629.0,727,1107,1,1.0,625.0,110000,True,False,False,False,True
4,1920,1950,0.0,698.0,698,1128,1,2.0,528.0,68400,True,False,False,False,True
4,1900,1950,0.0,859.0,859,1178,1,1.0,384.0,102776,True,False,False,False,True
5,1952,1952,0.0,540.0,1044,1044,1,2.0,504.0,55993,False,False,False,False,False
4,1896,1950,0.0,756.0,952,952,1,1.0,330.0,50138,False,False,False,False,True
8,2004,2005,186.0,1594.0,1646,1646,2,2.0,525.0,246000,False,True,True,False,False
8,1998,1999,0.0,1049.0,1036,1916,2,3.0,741.0,254900,False,True,False,False,False
6,1977,1977,0.0,1243.0,1285,1285,2,2.0,473.0,190000,True,False,False,False,False
7,2003,2003,0.0,1560.0,1560,1560,2,2.0,573.0,201000,False,True,True,False,False
6,1976,1976,335.0,1012.0,1034,1034,1,3.0,888.0,169900,True,False,False,False,True
6,1976,1976,0.0,1958.0,2048,2048,3,2.0,776.0,170000,True,False,False,False,True
